Year,County Name,Region,Age Group,Deaths
2015,Dutchess,ROS,1-9,2
2015,Dutchess,ROS,<1,5
2015,Dutchess,ROS,10-19,9
2015,Dutchess,ROS,20-24,14
2015,Dutchess,ROS,25-34,35
2015,Dutchess,ROS,35-44,45
2015,Dutchess,ROS,45-54,106
2015,Dutchess,ROS,55-64,271
2015,Dutchess,ROS,65-74,401
2015,Dutchess,ROS,75-84,588
2015,Dutchess,ROS,85+,796
2015,Dutchess,ROS,Total,2272
2015,Erie,ROS,1-9,15
2015,Erie,ROS,10-19,31
2015,Erie,ROS,20-24,67
2015,Erie,ROS,<1,73
2015,Erie,ROS,25-34,187
2015,Erie,ROS,35-44,204
2015,Erie,ROS,45-54,550
2015,Erie,ROS,55-64,1119
2015,Erie,ROS,65-74,1564
2015,Erie,ROS,75-84,2419
2015,Erie,ROS,85+,3691
2015,Erie,ROS,Total,9920
2015,Essex,ROS,1-9,1
2015,Essex,ROS,10-19,1
2015,Essex,ROS,<1,2
2015,Essex,ROS,20-24,3
2015,Essex,ROS,35-44,8
2015,Essex,ROS,25-34,10
2015,Essex,ROS,45-54,22
2015,Essex,ROS,55-64,45
2015,Essex,ROS,65-74,99
2015,Essex,ROS,75-84,119
2015,Essex,ROS,85+,179
2015,Essex,ROS,Total,489
2015,Franklin,ROS,1-9,1
2015,Franklin,ROS,20-24,1
2015,Franklin,ROS,10-19,2
2015,Franklin,ROS,<1,3
2015,Franklin,ROS,25-34,6
2015,Franklin,ROS,35-44,12
2015,Franklin,ROS,45-54,29
2015,Franklin,ROS,55-64,68
2015,Franklin,ROS,65-74,90
2015,Franklin,ROS,75-84,146
2015,Franklin,ROS,85+,152
2015,Franklin,ROS,Total,510
2015,Fulton,ROS,20-24,2
2015,Fulton,ROS,<1,2
2015,Fulton,ROS,25-34,9
2015,Fulton,ROS,35-44,14
2015,Fulton,ROS,45-54,41
2015,Fulton,ROS,55-64,79
2015,Fulton,ROS,65-74,128
2015,Fulton,ROS,75-84,135
2015,Fulton,ROS,85+,213
2015,Fulton,ROS,Total,623
2015,Genesee,ROS,1-9,1
2015,Genesee,ROS,10-19,1
2015,Genesee,ROS,<1,2
2015,Genesee,ROS,20-24,3
2015,Genesee,ROS,25-34,8
2015,Genesee,ROS,35-44,13
2015,Genesee,ROS,45-54,34
2015,Genesee,ROS,55-64,68
2015,Genesee,ROS,65-74,95
2015,Genesee,ROS,75-84,155
2015,Genesee,ROS,85+,247
2015,Genesee,ROS,Total,627
2015,Greene,ROS,20-24,2
2015,Greene,ROS,25-34,9
2015,Greene,ROS,35-44,11
2015,Greene,ROS,45-54,28
2015,Greene,ROS,55-64,83
2015,Greene,ROS,65-74,114
2015,Greene,ROS,75-84,133
2015,Greene,ROS,85+,178
2015,Greene,ROS,Total,558
2015,Hamilton,ROS,10-19,1
2015,Hamilton,ROS,35-44,1
2015,Hamilton,ROS,55-64,3
2015,Hamilton,ROS,45-54,4
2015,Hamilton,ROS,65-74,17
2015,Hamilton,ROS,85+,19
2015,Hamilton,ROS,75-84,21
2015,Hamilton,ROS,Total,66
2015,Herkimer,ROS,10-19,1
2015,Herkimer,ROS,1-9,3
2015,Herkimer,ROS,20-24,4
2015,Herkimer,ROS,<1,10
2015,Herkimer,ROS,25-34,13
2015,Herkimer,ROS,35-44,16
2015,Herkimer,ROS,45-54,44
2015,Herkimer,ROS,55-64,85
2015,Herkimer,ROS,65-74,123
2015,Herkimer,ROS,75-84,185
2015,Herkimer,ROS,85+,283
2015,Herkimer,ROS,Total,767
2015,Jefferson,ROS,10-19,1
2015,Jefferson,ROS,1-9,3
2015,Jefferson,ROS,25-34,11
2015,Jefferson,ROS,20-24,12
2015,Jefferson,ROS,<1,13
2015,Jefferson,ROS,35-44,17
2015,Jefferson,ROS,45-54,53
2015,Jefferson,ROS,55-64,121
2015,Jefferson,ROS,65-74,195
2015,Jefferson,ROS,75-84,207
2015,Jefferson,ROS,85+,288
2015,Jefferson,ROS,Total,921
2015,Kings,NYC,1-9,40
2015,Kings,NYC,10-19,61
2015,Kings,NYC,20-24,112
2015,Kings,NYC,<1,160
2015,Kings,NYC,25-34,348
2015,Kings,NYC,35-44,477
2015,Kings,NYC,45-54,1162
2015,Kings,NYC,55-64,2048
2015,Kings,NYC,65-74,2763
2015,Kings,NYC,75-84,3553
2015,Kings,NYC,85+,5091
2015,Kings,NYC,Total,15815
2015,Lewis,ROS,<1,1
2015,Lewis,ROS,20-24,2
2015,Lewis,ROS,25-34,8
2015,Lewis,ROS,35-44,10
2015,Lewis,ROS,45-54,20
2015,Lewis,ROS,55-64,34
2015,Lewis,ROS,65-74,72
2015,Lewis,ROS,75-84,85
2015,Lewis,ROS,85+,143
2015,Lewis,ROS,Total,375
2015,Livingston,ROS,20-24,1
2015,Livingston,ROS,25-34,6
2015,Livingston,ROS,35-44,15
2015,Livingston,ROS,45-54,28
2015,Livingston,ROS,55-64,73
2015,Livingston,ROS,65-74,83
2015,Livingston,ROS,75-84,155
2015,Livingston,ROS,85+,214
2015,Livingston,ROS,Total,575
2015,Madison,ROS,1-9,3
2015,Madison,ROS,20-24,4
2015,Madison,ROS,<1,5
2015,Madison,ROS,10-19,8
2015,Madison,ROS,25-34,10
2015,Madison,ROS,35-44,15
2015,Madison,ROS,45-54,27
2015,Madison,ROS,55-64,70
2015,Madison,ROS,65-74,115
2015,Madison,ROS,75-84,156
2015,Madison,ROS,85+,217
2015,Madison,ROS,Total,630
2015,Monroe,ROS,1-9,11
2015,Monroe,ROS,10-19,18
2015,Monroe,ROS,20-24,58
2015,Monroe,ROS,<1,62
2015,Monroe,ROS,25-34,82
2015,Monroe,ROS,35-44,132
2015,Monroe,ROS,45-54,340
2015,Monroe,ROS,55-64,710
2015,Monroe,ROS,65-74,1026
2015,Monroe,ROS,75-84,1567
2015,Monroe,ROS,85+,2677
2015,Monroe,ROS,Total,6684
2015,Montgomery,ROS,1-9,1
2015,Montgomery,ROS,10-19,3
2015,Montgomery,ROS,<1,3
2015,Montgomery,ROS,20-24,4
2015,Montgomery,ROS,25-34,8
2015,Montgomery,ROS,35-44,13
2015,Montgomery,ROS,45-54,31
2015,Montgomery,ROS,55-64,66
2015,Montgomery,ROS,65-74,94
2015,Montgomery,ROS,75-84,150
2015,Montgomery,ROS,85+,259
2015,Montgomery,ROS,Total,632
2015,Nassau,ROS,1-9,13
2015,Nassau,ROS,10-19,33
2015,Nassau,ROS,20-24,49
2015,Nassau,ROS,<1,53
2015,Nassau,ROS,25-34,136
2015,Nassau,ROS,35-44,181
2015,Nassau,ROS,45-54,487
2015,Nassau,ROS,55-64,1027
2015,Nassau,ROS,65-74,1516
2015,Nassau,ROS,75-84,2509
2015,Nassau,ROS,85+,4976
2015,Nassau,ROS,Total,10980
2015,New York,NYC,10-19,17
2015,New York,NYC,1-9,19
2015,New York,NYC,20-24,50
2015,New York,NYC,<1,66
2015,New York,NYC,25-34,147
2015,New York,NYC,35-44,228
2015,New York,NYC,45-54,587
2015,New York,NYC,55-64,1137
2015,New York,NYC,65-74,1758
2015,New York,NYC,75-84,2470
2015,New York,NYC,85+,3761
2015,New York,NYC,Total,10240
2015,Niagara,ROS,1-9,1
2015,Niagara,ROS,10-19,11
2015,Niagara,ROS,<1,13
2015,Niagara,ROS,20-24,21
2015,Niagara,ROS,25-34,44
2015,Niagara,ROS,35-44,53
2015,Niagara,ROS,45-54,129
2015,Niagara,ROS,55-64,271
2015,Niagara,ROS,65-74,449
2015,Niagara,ROS,75-84,533
2015,Niagara,ROS,85+,884
2015,Niagara,ROS,Total,2409
2015,Oneida,ROS,1-9,5
2015,Oneida,ROS,10-19,6
2015,Oneida,ROS,20-24,7
2015,Oneida,ROS,<1,18
2015,Oneida,ROS,25-34,32
2015,Oneida,ROS,35-44,48
2015,Oneida,ROS,45-54,135
2015,Oneida,ROS,55-64,275
2015,Oneida,ROS,65-74,443
2015,Oneida,ROS,75-84,606
2015,Oneida,ROS,85+,1046
2015,Oneida,ROS,Total,2621
2015,Onondaga,ROS,1-9,6
2015,Onondaga,ROS,10-19,15
2015,Onondaga,ROS,20-24,35
2015,Onondaga,ROS,<1,35
2015,Onondaga,ROS,35-44,76
2015,Onondaga,ROS,25-34,78
2015,Onondaga,ROS,45-54,241
2015,Onondaga,ROS,55-64,500
2015,Onondaga,ROS,65-74,723
2015,Onondaga,ROS,75-84,1019
2015,Onondaga,ROS,85+,1695
2015,Onondaga,ROS,Total,4424
2015,Ontario,ROS,1-9,2
2015,Ontario,ROS,10-19,4
2015,Ontario,ROS,<1,4
2015,Ontario,ROS,20-24,6
2015,Ontario,ROS,25-34,10
2015,Ontario,ROS,35-44,17
2015,Ontario,ROS,45-54,48
2015,Ontario,ROS,55-64,142
2015,Ontario,ROS,65-74,184
2015,Ontario,ROS,75-84,288
2015,Ontario,ROS,85+,394
2015,Ontario,ROS,Total,1099
2015,Orange,ROS,1-9,2
2015,Orange,ROS,10-19,14
2015,Orange,ROS,20-24,19
2015,Orange,ROS,<1,24
2015,Orange,ROS,25-34,42
2015,Orange,ROS,35-44,72
2015,Orange,ROS,45-54,194
2015,Orange,ROS,55-64,380
2015,Orange,ROS,65-74,578
2015,Orange,ROS,75-84,809
2015,Orange,ROS,85+,1153
2015,Orange,ROS,Total,3288
2015,Orleans,ROS,20-24,1
2015,Orleans,ROS,25-34,2
2015,Orleans,ROS,10-19,3
2015,Orleans,ROS,<1,4
2015,Orleans,ROS,35-44,14
2015,Orleans,ROS,45-54,19
2015,Orleans,ROS,55-64,44
2015,Orleans,ROS,65-74,72
2015,Orleans,ROS,75-84,109
2015,Orleans,ROS,85+,150
2015,Orleans,ROS,Total,418
2015,Oswego,ROS,1-9,5
2015,Oswego,ROS,10-19,5
2015,Oswego,ROS,20-24,6
2015,Oswego,ROS,<1,8
2015,Oswego,ROS,25-34,14
2015,Oswego,ROS,35-44,25
2015,Oswego,ROS,45-54,82
2015,Oswego,ROS,55-64,137
2015,Oswego,ROS,65-74,199
2015,Oswego,ROS,75-84,267
2015,Oswego,ROS,85+,315
2015,Oswego,ROS,Total,1063
2015,Otsego,ROS,1-9,1
2015,Otsego,ROS,10-19,5
2015,Otsego,ROS,<1,7
2015,Otsego,ROS,20-24,8
2015,Otsego,ROS,25-34,9
2015,Otsego,ROS,35-44,12
2015,Otsego,ROS,45-54,30
2015,Otsego,ROS,55-64,64
2015,Otsego,ROS,65-74,110
2015,Otsego,ROS,75-84,155
2015,Otsego,ROS,85+,207
2015,Otsego,ROS,Total,608
2015,Putnam,ROS,1-9,1
2015,Putnam,ROS,<1,2
2015,Putnam,ROS,10-19,3
2015,Putnam,ROS,20-24,6
2015,Putnam,ROS,25-34,9
2015,Putnam,ROS,35-44,16
2015,Putnam,ROS,45-54,43
2015,Putnam,ROS,55-64,93
2015,Putnam,ROS,65-74,117
2015,Putnam,ROS,75-84,162
2015,Putnam,ROS,85+,251
2015,Putnam,ROS,Total,703
2015,Queens,NYC,1-9,31
2015,Queens,NYC,10-19,46
2015,Queens,NYC,20-24,86
2015,Queens,NYC,<1,120
2015,Queens,NYC,25-34,215
2015,Queens,NYC,35-44,356
2015,Queens,NYC,45-54,805
2015,Queens,NYC,55-64,1650
2015,Queens,NYC,65-74,2368
2015,Queens,NYC,75-84,3250
2015,Queens,NYC,85+,5089
2015,Queens,NYC,Total,14016
2015,Rensselaer,ROS,10-19,5
2015,Rensselaer,ROS,20-24,7
2015,Rensselaer,ROS,<1,9
2015,Rensselaer,ROS,25-34,22
2015,Rensselaer,ROS,35-44,37
2015,Rensselaer,ROS,45-54,85
2015,Rensselaer,ROS,55-64,189
2015,Rensselaer,ROS,65-74,286
2015,Rensselaer,ROS,75-84,348
2015,Rensselaer,ROS,85+,567
2015,Rensselaer,ROS,Total,1555
2015,Richmond,NYC,1-9,8
2015,Richmond,NYC,10-19,13
2015,Richmond,NYC,<1,22
2015,Richmond,NYC,20-24,23
2015,Richmond,NYC,25-34,58
2015,Richmond,NYC,35-44,86
2015,Richmond,NYC,45-54,234
2015,Richmond,NYC,55-64,485
2015,Richmond,NYC,65-74,689
2015,Richmond,NYC,75-84,898
2015,Richmond,NYC,85+,1230
2015,Richmond,NYC,Total,3746
2015,Rockland,ROS,1-9,1
2015,Rockland,ROS,10-19,7
2015,Rockland,ROS,20-24,10
2015,Rockland,ROS,<1,21
2015,Rockland,ROS,25-34,26
2015,Rockland,ROS,35-44,27
2015,Rockland,ROS,45-54,105
2015,Rockland,ROS,55-64,206
2015,Rockland,ROS,65-74,338
2015,Rockland,ROS,75-84,494
2015,Rockland,ROS,85+,796
2015,Rockland,ROS,Total,2032
2015,Saratoga,ROS,1-9,3
2015,Saratoga,ROS,<1,7
2015,Saratoga,ROS,10-19,12
2015,Saratoga,ROS,20-24,12
2015,Saratoga,ROS,25-34,29
2015,Saratoga,ROS,35-44,30
2015,Saratoga,ROS,45-54,92
2015,Saratoga,ROS,55-64,180
2015,Saratoga,ROS,65-74,367
2015,Saratoga,ROS,75-84,437
2015,Saratoga,ROS,85+,668
2015,Saratoga,ROS,Total,1837
2015,Schenectady,ROS,1-9,2
2015,Schenectady,ROS,10-19,7
2015,Schenectady,ROS,20-24,8
2015,Schenectady,ROS,<1,22
2015,Schenectady,ROS,25-34,32
2015,Schenectady,ROS,35-44,35
2015,Schenectady,ROS,45-54,73
2015,Schenectady,ROS,55-64,192
2015,Schenectady,ROS,65-74,257
2015,Schenectady,ROS,75-84,307
2015,Schenectady,ROS,85+,611
2015,Schenectady,ROS,Total,1546
2015,Schoharie,ROS,20-24,1
2015,Schoharie,ROS,25-34,2
2015,Schoharie,ROS,<1,2
2015,Schoharie,ROS,35-44,8
2015,Schoharie,ROS,45-54,25
2015,Schoharie,ROS,55-64,38
2015,Schoharie,ROS,65-74,62
2015,Schoharie,ROS,75-84,74
2015,Schoharie,ROS,85+,86
2015,Schoharie,ROS,Total,298
2015,Schuyler,ROS,10-19,1
2015,Schuyler,ROS,35-44,1
2015,Schuyler,ROS,<1,1
2015,Schuyler,ROS,20-24,2
2015,Schuyler,ROS,25-34,5
2015,Schuyler,ROS,45-54,13
2015,Schuyler,ROS,55-64,18
2015,Schuyler,ROS,65-74,42
2015,Schuyler,ROS,75-84,50
2015,Schuyler,ROS,85+,53
2015,Schuyler,ROS,Total,186
2015,Seneca,ROS,1-9,1
2015,Seneca,ROS,<1,2
2015,Seneca,ROS,25-34,5
2015,Seneca,ROS,35-44,9
2015,Seneca,ROS,45-54,20
2015,Seneca,ROS,55-64,48
2015,Seneca,ROS,65-74,82
2015,Seneca,ROS,75-84,103
2015,Seneca,ROS,85+,186
2015,Seneca,ROS,Total,456
2015,St Lawrence,ROS,1-9,3
2015,St Lawrence,ROS,20-24,4
2015,St Lawrence,ROS,10-19,5
2015,St Lawrence,ROS,<1,8
2015,St Lawrence,ROS,25-34,10
2015,St Lawrence,ROS,35-44,16
2015,St Lawrence,ROS,45-54,59
2015,St Lawrence,ROS,55-64,128
2015,St Lawrence,ROS,65-74,174
2015,St Lawrence,ROS,75-84,225
2015,St Lawrence,ROS,85+,270
2015,St Lawrence,ROS,Total,902
2015,Steuben,ROS,1-9,1
2015,Steuben,ROS,20-24,1
2015,Steuben,ROS,10-19,5
2015,Steuben,ROS,25-34,7
2015,Steuben,ROS,<1,7
2015,Steuben,ROS,35-44,19
2015,Steuben,ROS,45-54,52
2015,Steuben,ROS,55-64,122
2015,Steuben,ROS,65-74,198
2015,Steuben,ROS,75-84,245
2015,Steuben,ROS,85+,331
2015,Steuben,ROS,Total,988
2015,Suffolk,ROS,1-9,17
2015,Suffolk,ROS,<1,49
2015,Suffolk,ROS,10-19,51
2015,Suffolk,ROS,20-24,88
2015,Suffolk,ROS,25-34,229
2015,Suffolk,ROS,35-44,250
2015,Suffolk,ROS,45-54,687
2015,Suffolk,ROS,55-64,1316
2015,Suffolk,ROS,65-74,1934
2015,Suffolk,ROS,75-84,2847
2015,Suffolk,ROS,85+,4399
2015,Suffolk,ROS,Total,11867
2015,Sullivan,ROS,1-9,1
2015,Sullivan,ROS,10-19,1
2015,Sullivan,ROS,20-24,4
2015,Sullivan,ROS,<1,4
2015,Sullivan,ROS,25-34,9
2015,Sullivan,ROS,35-44,19
2015,Sullivan,ROS,45-54,39
2015,Sullivan,ROS,55-64,110
2015,Sullivan,ROS,75-84,155
2015,Sullivan,ROS,65-74,169
2015,Sullivan,ROS,85+,184
2015,Sullivan,ROS,Total,695
2015,Tioga,ROS,20-24,1
2015,Tioga,ROS,10-19,2
2015,Tioga,ROS,<1,4
2015,Tioga,ROS,25-34,9
2015,Tioga,ROS,45-54,19
2015,Tioga,ROS,35-44,20
2015,Tioga,ROS,55-64,57
2015,Tioga,ROS,65-74,87
2015,Tioga,ROS,75-84,127
2015,Tioga,ROS,85+,140
2015,Tioga,ROS,Total,466
2015,Tompkins,ROS,10-19,3
2015,Tompkins,ROS,20-24,4
2015,Tompkins,ROS,25-34,12
2015,Tompkins,ROS,35-44,15
2015,Tompkins,ROS,45-54,42
2015,Tompkins,ROS,55-64,72
2015,Tompkins,ROS,65-74,132
2015,Tompkins,ROS,75-84,139
2015,Tompkins,ROS,85+,263
2015,Tompkins,ROS,Total,682
2015,Ulster,ROS,1-9,4
2015,Ulster,ROS,<1,9
2015,Ulster,ROS,10-19,10
2015,Ulster,ROS,20-24,11
2015,Ulster,ROS,35-44,31
2015,Ulster,ROS,25-34,33
2015,Ulster,ROS,45-54,97
2015,Ulster,ROS,55-64,210
2015,Ulster,ROS,65-74,336
2015,Ulster,ROS,75-84,377
2015,Ulster,ROS,85+,622
2015,Ulster,ROS,Total,1740
2015,Warren,ROS,20-24,2
2015,Warren,ROS,25-34,5
2015,Warren,ROS,<1,5
2015,Warren,ROS,35-44,15
2015,Warren,ROS,45-54,44
2015,Warren,ROS,55-64,97
2015,Warren,ROS,65-74,127
2015,Warren,ROS,75-84,186
2015,Warren,ROS,85+,261
2015,Warren,ROS,Total,742
2015,Washington,ROS,10-19,1
2015,Washington,ROS,<1,2
2015,Washington,ROS,20-24,5
2015,Washington,ROS,25-34,6
2015,Washington,ROS,35-44,12
2015,Washington,ROS,45-54,33
2015,Washington,ROS,55-64,80
2015,Washington,ROS,65-74,133
2015,Washington,ROS,75-84,165
2015,Washington,ROS,85+,211
2015,Washington,ROS,Total,648
2015,Wayne,ROS,20-24,1
2015,Wayne,ROS,10-19,3
2015,Wayne,ROS,1-9,4
2015,Wayne,ROS,<1,6
2015,Wayne,ROS,25-34,15
2015,Wayne,ROS,35-44,22
2015,Wayne,ROS,45-54,57
2015,Wayne,ROS,55-64,118
2015,Wayne,ROS,65-74,171
2015,Wayne,ROS,75-84,230
2015,Wayne,ROS,85+,270
2015,Wayne,ROS,Total,897
2015,Westchester,ROS,1-9,12
2015,Westchester,ROS,10-19,16
2015,Westchester,ROS,<1,27
2015,Westchester,ROS,20-24,34
2015,Westchester,ROS,25-34,74
2015,Westchester,ROS,35-44,100
2015,Westchester,ROS,45-54,326
2015,Westchester,ROS,55-64,656
2015,Westchester,ROS,65-74,959
2015,Westchester,ROS,75-84,1555
2015,Westchester,ROS,85+,2942
2015,Westchester,ROS,Total,6701
2015,Wyoming,ROS,20-24,1
2015,Wyoming,ROS,1-9,2
2015,Wyoming,ROS,25-34,3
2015,Wyoming,ROS,35-44,13
2015,Wyoming,ROS,45-54,19
2015,Wyoming,ROS,55-64,52
2015,Wyoming,ROS,65-74,86
2015,Wyoming,ROS,75-84,98
2015,Wyoming,ROS,85+,124
2015,Wyoming,ROS,Total,398
2015,Yates,ROS,10-19,1
2015,Yates,ROS,20-24,1
2015,Yates,ROS,<1,1
2015,Yates,ROS,25-34,3
2015,Yates,ROS,35-44,4
2015,Yates,ROS,45-54,12
2015,Yates,ROS,55-64,25
2015,Yates,ROS,65-74,42
2015,Yates,ROS,75-84,71
2015,Yates,ROS,85+,95
2015,Yates,ROS,Total,255
2003,Albany,ROS,1-9,5
2003,Albany,ROS,20-24,9
2003,Albany,ROS,10-19,16
2003,Albany,ROS,<1,21
2003,Albany,ROS,25-34,36
2003,Albany,ROS,35-44,60
2003,Albany,ROS,45-54,170
2003,Albany,ROS,55-64,254
2003,Albany,ROS,65-74,410
2003,Albany,ROS,75-84,877
2003,Albany,ROS,85+,988
2003,Albany,ROS,Total,2846
2003,Allegany,ROS,10-19,1
2003,Allegany,ROS,20-24,3
2003,Allegany,ROS,<1,3
2003,Allegany,ROS,25-34,5
2003,Allegany,ROS,35-44,14
2003,Allegany,ROS,45-54,21
2003,Allegany,ROS,55-64,48
2003,Allegany,ROS,65-74,97
2003,Allegany,ROS,75-84,139
2003,Allegany,ROS,85+,153
2003,Allegany,ROS,Total,484
2003,Bronx,NYC,1-9,33
2003,Bronx,NYC,10-19,77
2003,Bronx,NYC,20-24,93
2003,Bronx,NYC,<1,192
2003,Bronx,NYC,25-34,235
2003,Bronx,NYC,35-44,572
2003,Bronx,NYC,45-54,1084
2003,Bronx,NYC,55-64,1304
2003,Bronx,NYC,65-74,1724
2003,Bronx,NYC,75-84,2308
2003,Bronx,NYC,85+,2461
2003,Bronx,NYC,Total,10083
2003,Broome,ROS,1-9,4
2003,Broome,ROS,20-24,8
2003,Broome,ROS,10-19,11
2003,Broome,ROS,<1,16
2003,Broome,ROS,25-34,20
2003,Broome,ROS,35-44,45
2003,Broome,ROS,45-54,122
